Designator,Mid X,Mid Y,Layer,Rotation
C1,87.12,60.66,Top,270.0
C2,87.12,47.96,Top,270.0
C3,87.12,35.26,Top,270.0
C4,87.12,22.56,Top,270.0
C5,87.12, 9.86,Top,270.0
C6,53.98,90.81,Top,90.0
C7,53.98,85.73,Top,270.0
D1,33.50,58.22,Top,90.0
D2,44.91,61.26,Top,90.0
D3,33.50,45.52,Top,90.0
D4,44.91,48.56,Top,90.0
D5,33.50,32.82,Top,90.0
D6,44.91,35.86,Top,90.0
D7,33.50,20.12,Top,90.0
D8,44.91,23.16,Top,90.0
D9,33.50, 7.42,Top,90.0
D10,44.91,10.46,Top,90.0
DEBUG,40.01,90.81,Top,0.0
F1,97.16,70.48,Top,180.0
F2,97.16,55.25,Top,180.0
F3,97.16,40.01,Top,180.0
F4,97.16,24.77,Top,180.0
F5,97.16, 9.53,Top,180.0
Q1,38.94,61.57,Top,0.0
Q2,38.94,48.87,Top,0.0
Q3,38.94,36.17,Top,0.0
Q4,38.94,23.47,Top,0.0
Q5,38.94,10.77,Top,0.0
R1,37.90,57.58,Top,90.0
R2,40.34,57.58,Top,270.0
R3,47.85,61.01,Top,90.0
R4,50.55,61.01,Top,90.0
R5,37.90,44.88,Top,90.0
R6,40.34,44.88,Top,270.0
R7,47.85,48.31,Top,90.0
R8,50.55,48.31,Top,90.0
R9,37.90,32.18,Top,90.0
R10,40.34,32.18,Top,270.0
R11,47.85,35.61,Top,90.0
R12,50.55,35.61,Top,90.0
R13,37.90,19.48,Top,90.0
R14,40.34,19.48,Top,270.0
R15,47.85,22.91,Top,90.0
R16,50.55,22.91,Top,90.0
R17,37.90, 6.78,Top,90.0
R18,40.34, 6.78,Top,270.0
R19,47.85,10.21,Top,90.0
R20,50.55,10.21,Top,90.0
R21,20.96,57.79,Top,270.0
R22,20.96,42.55,Top,90.0
R23,20.96,27.30,Top,270.0
R24,20.96,12.07,Top,270.0
SENSOR1, 0.25,55.63,Top,0.0
SENSOR2, 0.25,40.39,Top,0.0
SENSOR3, 0.25,25.15,Top,0.0
SENSOR4, 0.25, 9.91,Top,0.0
U$1,23.50,73.03,Top,90.0
U$1a,23.50,73.03,Top,90.0
U$3,74.30,87.00,Top,180.0
X1,114.94,87.00,Top,270.0
X2,112.40,70.48,Top,270.0
X3,112.40,55.25,Top,270.0
X4,112.40,40.01,Top,270.0
X5,112.40,24.77,Top,270.0
X6,112.40, 9.53,Top,270.0
